RelativePath,Bytes,SHA256,ArtifactType
bler_vs_snr.csv,1269,6a3a12d16d5e2a35fac94d2a3030accbe6db534a42a2023da2d59a8176ed5607,CSV
bler_vs_snr.png,71836,5707c3bfa015459165af420fae8b1659fed1a2d58602f0bddb53fc76851bdfa1,PNG
pusch_resource_grid.png,54817,4fa36d47118d70843c96c36978aef29f0d25ab7285173c9ec2ca526f6363bb0b,PNG
required_snr_at_target_bler.csv,168,7f3b17a95860c2dc43181f3411778d8bcb0dfbbd36f64a66abe888c40b16edc1,CSV
resolved_config.json,2263,5ccc4201d200da2c298a56980441f889ca6a025c315060ddf17d647d382e41b7,JSON
result_validity.csv,788,d923e1f4758522dbbd97b4924be64b5cec0cfa839c7ed0cef3e8904f6d11fc82,CSV
run_provenance.json,2207,c698ba910942ae3d040986dd710363055a874bb7123b7aa3864f3ca06e37491e,JSON
simulation_assumptions.csv,895,3b67b8251fc4db3a8bca03aec4eb99439989bf09cb2230768fc54e526d77847f,CSV
throughput_vs_snr.png,51484,522a29c67995e9cc38904b4b22e12b81a2692f830a1c159d6b024f7981bacd17,PNG
transport_block_trials.csv,10552,80a4c440ee52f7c0bf9660da6f31176df063b0e21acc7b35ff23198bee551065,CSV
truth_contract.csv,498,b32009a1ec7ea9adf36dc78b09e0a8f5e38c747a6b2ea6fa3aae6455a098f585,CSV
