RelativePath,Bytes,SHA256,ArtifactType
bler_vs_snr.csv,1269,d9bf985b24d23f83f0145ce32b39faec423ed1ee8739797900061a33c8ac03fc,CSV
bler_vs_snr.png,71836,8878a3695250b1280ce23ef62457c4372c65454629ff62615795be34c1153c49,PNG
pusch_resource_grid.png,54817,99b885f52715a8ea1813fa22717215b109e465ca6fe78e588adcbc33d586e000,PNG
required_snr_at_target_bler.csv,168,7f3b17a95860c2dc43181f3411778d8bcb0dfbbd36f64a66abe888c40b16edc1,CSV
resolved_config.json,2263,5ccc4201d200da2c298a56980441f889ca6a025c315060ddf17d647d382e41b7,JSON
result_validity.csv,788,d923e1f4758522dbbd97b4924be64b5cec0cfa839c7ed0cef3e8904f6d11fc82,CSV
run_provenance.json,2207,f3ff413a7e1393d04ad0b4291d1df00c5a4dadcd6d24cff36c9998bae8b6107d,JSON
simulation_assumptions.csv,895,3b67b8251fc4db3a8bca03aec4eb99439989bf09cb2230768fc54e526d77847f,CSV
throughput_vs_snr.png,51484,50e978f0af6b58b8714dd2394d9270455631f6cc7c4704096f5775d6def97362,PNG
transport_block_trials.csv,10551,ac1f0ce6f71e46cbc18cd516cfa41f6bbfc19980ba215e8f3ddd606dcce15707,CSV
truth_contract.csv,498,b32009a1ec7ea9adf36dc78b09e0a8f5e38c747a6b2ea6fa3aae6455a098f585,CSV
