RuleID,Category,Requirement,RequiredInComprehensiveSmoke,RequiredInDeepAcceptance,EvidenceCSV,Operator,Threshold,FailureCode
FSR-0001,Configuration,Source/effective/resolved/executed YAML are hash-bound and no key is dropped.,true,true,full_stack_config_binding.csv,ALL_PASS,PASS,FULLSTACK:ConfigBinding
FSR-0002,Execution,Run was started from canonical WebGUI and MATLAB executed the bound revision.,true,true,full_stack_run_manifest.csv|full_stack_webgui_publication.csv,ALL_PASS,PASS,FULLSTACK:NotWebGUIRun
FSR-0003,Subcases,Every mandatory subcase executed and passed.,true,true,full_stack_subcase_status.csv,ALL_REQUIRED_PASS,PASS,FULLSTACK:SubcaseFailure
FSR-0004,Components,"Every mandatory component was executed, evidenced and correctness-checked.",true,true,full_stack_component_coverage_results.csv,ALL_REQUIRED_PASS,PASS,FULLSTACK:ComponentCoverage
FSR-0005,Values,Every required numerical/semantic value check passed.,true,true,full_stack_value_correctness_results.csv,ALL_REQUIRED_PASS,PASS,FULLSTACK:ValueCorrectness
FSR-0006,Artifacts,Every preset-required CSV and PNG exists and passes schema/hash/semantic validation.,true,true,full_stack_artifact_audit.csv,ALL_REQUIRED_PASS,PASS,FULLSTACK:ArtifactAudit
FSR-0007,WebGUI,Every required artifact is published in Results/Validation/Artifact Explorer.,true,true,full_stack_webgui_publication.csv,ALL_REQUIRED_PASS,PASS,FULLSTACK:WebGUIPublication
FSR-0008,Regression,"No mandatory test failed, skipped or blocked.",true,true,full_stack_regression_summary.csv,ALL_PASS,PASS,FULLSTACK:Regression
FSR-0009,Subcase,SC-00 CONFIG_AND_TOOLCHAIN_PREFLIGHT executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-00),PASS,FULLSTACK:SC-00Failed
FSR-0010,Subcase,SC-01 FRAME_GRID_DUPLEX executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-01),PASS,FULLSTACK:SC-01Failed
FSR-0011,Subcase,SC-02 WAVEFORM_DL_NOISELESS executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-02),PASS,FULLSTACK:SC-02Failed
FSR-0012,Subcase,SC-03 WAVEFORM_UL_NOISELESS executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-03),PASS,FULLSTACK:SC-03Failed
FSR-0013,Subcase,SC-04 FIXED_SINR_DL_SWEEP executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-04),PASS,FULLSTACK:SC-04Failed
FSR-0014,Subcase,SC-05 FIXED_SINR_UL_SWEEP executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-05),PASS,FULLSTACK:SC-05Failed
FSR-0015,Subcase,SC-06 INITIAL_ACCESS_CONNECTED executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-06),PASS,FULLSTACK:SC-06Failed
FSR-0016,Subcase,SC-07 PDCCH_DCI_FORMAT_MATRIX executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-07),PASS,FULLSTACK:SC-07Failed
FSR-0017,Subcase,SC-08 PDSCH_DLSCH_MAPPING_MATRIX executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-08),PASS,FULLSTACK:SC-08Failed
FSR-0018,Subcase,SC-09 PUSCH_ULSCH_UCI_MATRIX executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-09),PASS,FULLSTACK:SC-09Failed
FSR-0019,Subcase,SC-10 PUCCH_UCI_FORMATS_0_TO_4 executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-10),PASS,FULLSTACK:SC-10Failed
FSR-0020,Subcase,SC-11 REFERENCE_SIGNALS_MEASUREMENTS executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-11),PASS,FULLSTACK:SC-11Failed
FSR-0021,Subcase,SC-12 LINK_ADAPTATION_CSI_OLLA executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-12),PASS,FULLSTACK:SC-12Failed
FSR-0022,Subcase,SC-13 MIMO_ANTENNA_PRECODING executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-13),PASS,FULLSTACK:SC-13Failed
FSR-0023,Subcase,SC-14 BEAM_MANAGEMENT_AND_BFR executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-14),PASS,FULLSTACK:SC-14Failed
FSR-0024,Subcase,SC-15 CHANNEL_LOS_STATIC executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-15),PASS,FULLSTACK:SC-15Failed
FSR-0025,Subcase,SC-16 CHANNEL_NLOS_O2I_BLOCKAGE executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-16),PASS,FULLSTACK:SC-16Failed
FSR-0026,Subcase,SC-17 MOBILITY_DOPPLER_CONTINUITY executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-17),PASS,FULLSTACK:SC-17Failed
FSR-0027,Subcase,SC-18 MULTICELL_WAVEFORM_INTERFERENCE executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-18),PASS,FULLSTACK:SC-18Failed
FSR-0028,Subcase,SC-19 RF_CFO_TIMING_SCO_TRACKING executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-19),PASS,FULLSTACK:SC-19Failed
FSR-0029,Subcase,SC-20 RF_PHASE_IQ_PA_ADC_BLOCKER executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-20),PASS,FULLSTACK:SC-20Failed
FSR-0030,Subcase,SC-21 UL_POWER_CONTROL_ALL_CHANNELS executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-21),PASS,FULLSTACK:SC-21Failed
FSR-0031,Subcase,SC-22 MAC_HARQ_SCHEDULER executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-22),PASS,FULLSTACK:SC-22Failed
FSR-0032,Subcase,SC-23 RLC_PDCP_SDAP_RRC executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-23),PASS,FULLSTACK:SC-23Failed
FSR-0033,Subcase,SC-24 TRAFFIC_PACKET_LINEAGE executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-24),PASS,FULLSTACK:SC-24Failed
FSR-0034,Subcase,SC-25 HANDOVER_RLF_REESTABLISHMENT executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-25),PASS,FULLSTACK:SC-25Failed
FSR-0035,Subcase,SC-26 NEGATIVE_AND_FAULT_INJECTION executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-26),PASS,FULLSTACK:SC-26Failed
FSR-0036,Subcase,SC-27 VALIDATION_ORACLES_STATISTICS executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-27),PASS,FULLSTACK:SC-27Failed
FSR-0037,Subcase,SC-28 ALL_ARTIFACT_EXPORT_AND_AUDIT executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-28),PASS,FULLSTACK:SC-28Failed
FSR-0038,Subcase,SC-29 WEBGUI_PUBLISH_AND_E2E executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-29),PASS,FULLSTACK:SC-29Failed
FSR-0039,Subcase,SC-30 COMPLETE_REPOSITORY_REGRESSION executes successfully.,true,true,full_stack_subcase_status.csv,STATUS(SC-30),PASS,FULLSTACK:SC-30Failed
FSR-0040,Component,"COMP-0001 YAML source revision is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0001),PASS,FULLSTACK:YAMLsourcerevisionFailed
FSR-0041,Component,"COMP-0002 Inheritance resolution is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0002),PASS,FULLSTACK:InheritanceresolutionFailed
FSR-0042,Component,"COMP-0003 Toolchain pinning is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0003),PASS,FULLSTACK:ToolchainpinningFailed
FSR-0043,Component,"COMP-0004 Named random streams is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0004),PASS,FULLSTACK:NamedrandomstreamsFailed
FSR-0044,Component,"COMP-0005 Absolute radio clock is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0005),PASS,FULLSTACK:AbsoluteradioclockFailed
FSR-0045,Component,"COMP-0006 Numerology resolver is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0006),PASS,FULLSTACK:NumerologyresolverFailed
FSR-0046,Component,"COMP-0007 Carrier grid and guardband is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0007),PASS,FULLSTACK:CarriergridandguardbandFailed
FSR-0047,Component,"COMP-0008 TDD common pattern is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0008),PASS,FULLSTACK:TDDcommonpatternFailed
FSR-0048,Component,"COMP-0009 Dedicated TDD overrides is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0009),PASS,FULLSTACK:DedicatedTDDoverridesFailed
FSR-0049,Component,"COMP-0010 Resource collision manager is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0010),PASS,FULLSTACK:ResourcecollisionmanagerFailed
FSR-0050,Component,"COMP-0011 K0 K1 K2 timing is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0011),PASS,FULLSTACK:K0K1K2timingFailed
FSR-0051,Component,"COMP-0012 BWP switching is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0012),PASS,FULLSTACK:BWPswitchingFailed
FSR-0052,Component,"COMP-0013 Component carrier timing is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0013),PASS,FULLSTACK:ComponentcarriertimingFailed
FSR-0053,Component,"COMP-0014 DL CP-OFDM modulation is executed, evidenced and correct.",true,true,full_stack_component_coverage_results.csv,STATUS(COMP-0014),PASS,FULLSTACK:DLCPOFDMmodulationFailed
