RelativePath,Bytes,SHA256,ArtifactType
bler_vs_snr.csv,1271,7933bd2d8cf727a6cc7dbdad81130419d406c7f107a3e3df55d2c3ae871d5eae,CSV
bler_vs_snr.png,71879,54df495919a13c2f324acd31246d7ead29c5b2632440062a93b6a1474be6c6ec,PNG
pdsch_resource_grid.png,54736,a0edf95135f7dd3aeda54fe5c136616f6f35504f47a7be43a043eb85fd07b80b,PNG
required_snr_at_target_bler.csv,168,7f3b17a95860c2dc43181f3411778d8bcb0dfbbd36f64a66abe888c40b16edc1,CSV
resolved_config.json,2550,992695709013d5ec81474f29d03f3f535244ead66fb7f7203004e0590512ec34,JSON
result_validity.csv,788,d923e1f4758522dbbd97b4924be64b5cec0cfa839c7ed0cef3e8904f6d11fc82,CSV
run_provenance.json,2206,22bb509827d2f2296549b0b76c015a98b85ac4368eb54e55a8ef54954154f7da,JSON
simulation_assumptions.csv,947,dc4ce2d1a66765b28dea4ef196bb740abf9b97863115b101fd0bccc01cc40f2e,CSV
throughput_vs_snr.png,51552,c05ccd167e19f1d3015ef77c95c2ed9b88780f5d44f7ca77fb2b7e4390e7ea0a,PNG
transport_block_trials.csv,11036,d40faef4f94b2675efc82711fdd72a5b0f23daf5a4ee5609a8a02252e5bfbb92,CSV
truth_contract.csv,498,e52c97098b9f92d387d32df040baa9e76313879b3b0a59e014341980d04fe61b,CSV
