RunID,RuleID,FamilyID,Severity,ExperimentID,PairID,Metric,ObservedValue,Comparator,Threshold,CILower,CIUpper,PValue,EvidenceRows,Passed,FailureReason,Status
pusch_impact_20260726T140352Z,R-F01-01,F01,HARD,F01-E001,F01-MAIN,G reconciliation,0,"sum(bit-owner counts)==G and GULSCH+GUCI==G",0,-1.4803e-16,2.2204e-16,1,7,true,,PASS
pusch_impact_20260726T140352Z,R-F01-02,F01,HARD,F01-E001,F01-MAIN,UCI payload recovery,0,"decoded bits equal transmitted bits",0,-1.4803e-16,2.2204e-16,1,7,true,,PASS
pusch_impact_20260726T140352Z,R-F02-01,F02,HARD,F02-E001,F02-MAIN,Qprime/E values,0,"production equals independent table/math oracle",0,-1.4803e-16,1.4803e-16,1,6,true,,PASS
pusch_impact_20260726T140352Z,R-F02-02,F02,DIAGNOSTIC,F02-E001,F02-MAIN,Pareto effect,0,"UCI reliability versus UL-SCH goodput",report,-1.4803e-16,1.4803e-16,1,6,true,inconclusive_component_study_not_waveform_truth,PASS
pusch_impact_20260726T140352Z,R-F03-01,F03,HARD,F03-E001,F03-MAIN,CSI2 dependency,0,"OCSI2>0 requires valid CSI1/report config",no waveform,-2.2204e-16,1.4803e-16,1,7,true,,PASS
pusch_impact_20260726T140352Z,R-F03-02,F03,HARD,F03-E001,F03-MAIN,CSI2 recovery,0,"decoded payload equals input",0 mismatches,-2.2204e-16,1.4803e-16,1,7,true,,PASS
pusch_impact_20260726T140352Z,R-F04-01,F04,HARD,F04-E001,F04-S-6,UCI-only integrity,0,"TBS=0 and GULSCH=0 with UCI positions valid",0,-2.2204e-16,2.2204e-16,1,8,true,,PASS
pusch_impact_20260726T140352Z,R-F04-02,F04,STATISTICAL,F04-E001,F04-S-6,false UCI decode,0,"no-signal false CRC pass rate",configured <=1e-3,-2.2204e-16,2.2204e-16,1,8,true,inconclusive_component_study_not_waveform_truth,PASS
pusch_impact_20260726T140352Z,R-F05-01,F05,HARD,F05-E001,F05-MAIN,UCI owner,0,"higher initial IMCS; tie CW0",0,-2.2204e-16,2.2204e-16,1,4,true,,PASS
pusch_impact_20260726T140352Z,R-F06-01,F06,HARD,F06-E001,F06-MAIN,coding metadata,0,"TBS/BG/C/Zc/filler equals oracle",0,-2.2204e-16,2.2204e-16,1,12,true,,PASS
pusch_impact_20260726T140352Z,R-F06-02,F06,HARD,F06-E001,F06-MAIN,no-noise TB recovery,0,"decoded TB digest equals source",0 mismatches,-2.2204e-16,2.2204e-16,1,12,true,,PASS
