RelativePath,Bytes,SHA256,ArtifactType
bler_vs_snr.csv,1269,65389318d274389be30665ff24b793869dfeaa3a0c0d4b7b7d70d8a2b73320d1,CSV
bler_vs_snr.png,71836,6629f2cd90ee520113daccf0c399f525144eb76ac01aaddfe604e42d175803d4,PNG
pusch_resource_grid.png,54817,4ea01a5c5178e79659322b87671dc12761f6ab3198a33ce335003977f06512a4,PNG
required_snr_at_target_bler.csv,168,7f3b17a95860c2dc43181f3411778d8bcb0dfbbd36f64a66abe888c40b16edc1,CSV
resolved_config.json,2263,5ccc4201d200da2c298a56980441f889ca6a025c315060ddf17d647d382e41b7,JSON
result_validity.csv,788,d923e1f4758522dbbd97b4924be64b5cec0cfa839c7ed0cef3e8904f6d11fc82,CSV
run_provenance.json,2207,0ea04ad75988dcaa85ddee3c7aad70367792e45b8a3137c34193b835cc325245,JSON
simulation_assumptions.csv,984,cdfe133136126d57d65e8de82b43fc88e9e9613be556778d66edcb2505bc40a6,CSV
throughput_vs_snr.png,51484,8692d3e1842d4858f20ab26622b1b8ee13db6cede8bf4bdca83cfa97a249e660,PNG
transport_block_trials.csv,10548,6ca8546c08e896419c241a68a79e7b479569737a103b9f437be513387d976ca8,CSV
truth_contract.csv,498,b32009a1ec7ea9adf36dc78b09e0a8f5e38c747a6b2ea6fa3aae6455a098f585,CSV
