issue_id,severity,issue_status,issue_category,direction,ue_id,cell_id,block_name,metric_name,observed_value,expected_or_policy,evidence_artifact_ref,root_cause_hint,fix_plan,analytics_visible_flag,run_id,run_tag,scenario_id,scenario_variant_id,config_hash,code_commit,seed,drop_id,timestamp_sim_ms,frame,slot,symbol,site_id,sector_id,bwp_id,carrier_id,beam_id,layer_id,stream_id,harq_id,block_id,pipeline_id,producer_module,status_code,status_classification,source_artifact_ref,source_tensor_ref,derived_flag,active_flag
"low_sinr_window_1","high","REVIEW_REQUIRED","channel_interference","BIDIR",2,3,"channel/interference","LargeScaleWidebandSINR_dB","0.038435","SINR should align with channel/interference truth and scheduler link adaptation","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv","coverage_edge_lab_default_threshold","Inspect channel model, interference contributors, CQI feedback, and grant MCS for this UE/cell.",1,1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildResultIssueRegistry","review_required","derived_issue_registry","reports/csv/result_issue_registry.csv","not_applicable",1,1
"low_sinr_window_2","high","REVIEW_REQUIRED","channel_interference","BIDIR",34,4,"channel/interference","HARQFailureRate","0.83333","SINR should align with channel/interference truth and scheduler link adaptation","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv","high_harq_failure_rate","Inspect channel model, interference contributors, CQI feedback, and grant MCS for this UE/cell.",1,1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildResultIssueRegistry","review_required","derived_issue_registry","reports/csv/result_issue_registry.csv","not_applicable",1,1
"low_sinr_window_3","high","REVIEW_REQUIRED","channel_interference","BIDIR",48,5,"channel/interference","LargeScaleWidebandSINR_dB","-4.6622","SINR should align with channel/interference truth and scheduler link adaptation","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv","coverage_edge_lab_default_threshold","Inspect channel model, interference contributors, CQI feedback, and grant MCS for this UE/cell.",1,1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildResultIssueRegistry","review_required","derived_issue_registry","reports/csv/result_issue_registry.csv","not_applicable",1,1
"low_sinr_window_4","high","REVIEW_REQUIRED","channel_interference","BIDIR",7,5,"channel/interference","LargeScaleWidebandSINR_dB","0.49952","SINR should align with channel/interference truth and scheduler link adaptation","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv","coverage_edge_lab_default_threshold","Inspect channel model, interference contributors, CQI feedback, and grant MCS for this UE/cell.",1,1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildResultIssueRegistry","review_required","derived_issue_registry","reports/csv/result_issue_registry.csv","not_applicable",1,1
"low_sinr_window_5","high","REVIEW_REQUIRED","channel_interference","BIDIR",9,1,"channel/interference","LargeScaleWidebandSINR_dB","-1.0214","SINR should align with channel/interference truth and scheduler link adaptation","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv","coverage_edge_lab_default_threshold","Inspect channel model, interference contributors, CQI feedback, and grant MCS for this UE/cell.",1,1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildResultIssueRegistry","review_required","derived_issue_registry","reports/csv/result_issue_registry.csv","not_applicable",1,1
"low_sinr_window_6","high","REVIEW_REQUIRED","channel_interference","BIDIR",11,5,"channel/interference","LargeScaleWidebandSINR_dB","3.3383","SINR should align with channel/interference truth and scheduler link adaptation","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv","coverage_edge_lab_default_threshold","Inspect channel model, interference contributors, CQI feedback, and grant MCS for this UE/cell.",1,1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildResultIssueRegistry","review_required","derived_issue_registry","reports/csv/result_issue_registry.csv","not_applicable",1,1
"low_sinr_window_7","high","REVIEW_REQUIRED","channel_interference","BIDIR",15,3,"channel/interference","HARQFailureRate","0.66667","SINR should align with channel/interference truth and scheduler link adaptation","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv","high_harq_failure_rate","Inspect channel model, interference contributors, CQI feedback, and grant MCS for this UE/cell.",1,1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildResultIssueRegistry","review_required","derived_issue_registry","reports/csv/result_issue_registry.csv","not_applicable",1,1
"low_sinr_window_8","high","REVIEW_REQUIRED","channel_interference","BIDIR",17,5,"channel/interference","HARQFailureRate","0.66667","SINR should align with channel/interference truth and scheduler link adaptation","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv","high_harq_failure_rate","Inspect channel model, interference contributors, CQI feedback, and grant MCS for this UE/cell.",1,1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildResultIssueRegistry","review_required","derived_issue_registry","reports/csv/result_issue_registry.csv","not_applicable",1,1
"low_sinr_window_9","high","REVIEW_REQUIRED","channel_interference","BIDIR",21,5,"channel/interference","HARQFailureRate","0.66667","SINR should align with channel/interference truth and scheduler link adaptation","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv","high_harq_failure_rate","Inspect channel model, interference contributors, CQI feedback, and grant MCS for this UE/cell.",1,1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildResultIssueRegistry","review_required","derived_issue_registry","reports/csv/result_issue_registry.csv","not_applicable",1,1
"low_sinr_window_10","high","REVIEW_REQUIRED","channel_interference","BIDIR",46,5,"channel/interference","HARQFailureRate","0.66667","SINR should align with channel/interference truth and scheduler link adaptation","reports/csv/live_coverage_layer.csv|reports/csv/live_user_performance_snapshot.csv","high_harq_failure_rate","Inspect channel model, interference contributors, CQI feedback, and grant MCS for this UE/cell.",1,1,"webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","2756cfb",104729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"not_applicable","not_applicable","sixgr.truth.exportLLSOutputCoverageArtifacts/localBuildResultIssueRegistry","review_required","derived_issue_registry","reports/csv/result_issue_registry.csv","not_applicable",1,1
